question_id,article_id,content_hash,passage_title,question_preview,score,status,passed_total,failed_checks,run_id,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302169_sibling_3,article_101021,bd95a52a37df,Jane Goodall,"According to section 3, what key information does the aut...",82%,✅,9/11,"grammatical_parallel, standard_alignment",20260112_125710,✅,✅,❌,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302169_sibling_4,article_101021,bbe730e0cf20,Jane Goodall,"In section 3, the sentence 'Before that, people thought h...",82%,✅,9/11,"homogeneity, plausibility",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302170,article_101021,2c9f4e72effc,Jane Goodall,"In the passage about Jane Goodall, she made many importan...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302170_sibling_1,article_101021,0f4461e94850,Jane Goodall,What detail from section 2 best supports the main idea th...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302170_sibling_2,article_101021,00ff9e60a5d3,Jane Goodall,Which two details from the passage are most important for...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302170_sibling_3,article_101021,217a2279f799,Jane Goodall,The passage describes Jane Goodall's life from childhood...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302170_sibling_4,article_101021,d3457953a9d6,Jane Goodall,"According to the passage, what were two ways that Jane Go...",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302171,article_101021,c79954b2ae72,Jane Goodall,"In sections 2 and 3, what do Jane Goodall’s discoveries h...",73%,❌,8/11,"homogeneity, plausibility, standard_alignment",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,✅,❌,✅
quiz_302171_sibling_1,article_101021,5f31276558e6,Jane Goodall,Sections 1 and 4 both mention Jane Goodall working to hel...,82%,✅,9/11,"length_check, plausibility",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302171_sibling_2,article_101021,e56c6093d086,Jane Goodall,How are Jane Goodall's early life experiences in section...,82%,✅,9/11,"length_check, plausibility",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302171_sibling_3,article_101021,ac2acccedc76,Jane Goodall,"In section 4, the passage states that Jane Goodall 'is mo...",73%,❌,8/11,"difficulty_assessment, length_check, plausibility",20260112_125710,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302171_sibling_4,article_101021,d06c792e2975,Jane Goodall,The author writes 'More importantly' at the beginning of...,73%,❌,8/11,"difficulty_assessment, length_check, plausibility",20260112_125710,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302172,article_101021,c2c0fe1fb17d,Jane Goodall,"PART B: At the start of section 3, the author writes 'Mor...",55%,❌,6/11,"clarity_precision, homogeneity, plausibility, single_correct_answer, standard_alignment",20260112_125710,❌,✅,✅,❌,✅,✅,❌,❌,✅,❌,✅
quiz_302172_sibling_1,article_101021,13a804eab5dc,Jane Goodall,"At the start of section 3, the phrase 'More importantly'...",91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302172_sibling_2,article_101021,b2273ab351d4,Jane Goodall,Why does the author use the transitional phrase 'More imp...,73%,❌,8/11,"difficulty_assessment, length_check, plausibility",20260112_125710,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302172_sibling_3,article_101021,f2525843f6f5,Jane Goodall,"In section 3, after stating 'More importantly, Goodall di...",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302177,article_101022,222893901f1d,Deep-Sea Fish,Read the sentence from the passage. 'It would feel like 3...,73%,❌,8/11,"homogeneity, length_check, plausibility",20260112_125710,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302177_sibling_1,article_101022,ed3bd5f9c4ae,Deep-Sea Fish,"According to paragraph 1, what happens when you stay on t...",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302177_sibling_2,article_101022,f2c923513a41,Deep-Sea Fish,"Based on paragraph 3, what allows submersibles to explore...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302177_sibling_3,article_101022,eb70668e25db,Deep-Sea Fish,Why does the author include the detail that 'A person wou...,91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302177_sibling_4,article_101022,2e156b4f037d,Deep-Sea Fish,Which detail from the passage shows that ocean depth vari...,73%,❌,8/11,"grammatical_parallel, homogeneity, plausibility",20260112_125710,✅,✅,❌,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302178,article_101022,8843c5623034,Deep-Sea Fish,What must happen before scientists can discover new deep-...,82%,✅,9/11,"difficulty_assessment, homogeneity",20260112_125710,✅,❌,✅,❌,✅,✅,✅,✅,✅,✅,✅
quiz_302178_sibling_1,article_101022,599d22120ae8,Deep-Sea Fish,Scientists can discover new deep-sea creatures only after...,82%,✅,9/11,"homogeneity, plausibility",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302178_sibling_2,article_101022,f5d91098975d,Deep-Sea Fish,Why do deep-sea fish have thick bodies?,82%,✅,9/11,"difficulty_assessment, length_check",20260112_125710,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302178_sibling_3,article_101022,92211f354646,Deep-Sea Fish,How does the author show that exploring the deep ocean wa...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302178_sibling_4,article_101022,aed7d82f19df,Deep-Sea Fish,"Based on the passage, what would most likely happen if su...",73%,❌,8/11,"difficulty_assessment, homogeneity, plausibility",20260112_125710,✅,❌,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302179,article_101022,199298ebf1e9,Deep-Sea Fish,"In section 2, the word crushed means",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302179_sibling_1,article_101022,22fd5587b474,Deep-Sea Fish,"In paragraph 3, the word submersible means",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302179_sibling_2,article_101022,e45982513e62,Deep-Sea Fish,"In paragraph 3, what does the phrase 'something like a bu...",91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302179_sibling_3,article_101022,952b8a6d16da,Deep-Sea Fish,"Based on paragraph 1, what does the word limit mean?",82%,✅,9/11,"difficulty_assessment, length_check",20260112_125710,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302179_sibling_4,article_101022,efa0c2648980,Deep-Sea Fish,The word incredibly in paragraph 2 most nearly means,73%,❌,8/11,"difficulty_assessment, homogeneity, plausibility",20260112_125710,✅,❌,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302180,article_101022,6ccbeab587e4,Deep-Sea Fish,The author most likely wrote this passage to,91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302180_sibling_1,article_101022,2395d573e742,Deep-Sea Fish,"In paragraph 3, what does the word remote mean in the phr...",82%,✅,9/11,"length_check, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302180_sibling_2,article_101022,356a30fc0423,Deep-Sea Fish,What is the main idea of this passage?,82%,✅,9/11,"difficulty_assessment, single_correct_answer",20260112_125710,✅,❌,✅,✅,✅,✅,✅,❌,✅,✅,✅
quiz_302180_sibling_3,article_101022,83a1629e525c,Deep-Sea Fish,Which detail best supports the idea that deep-sea explora...,82%,✅,9/11,"grammatical_parallel, homogeneity",20260112_125710,✅,✅,❌,❌,✅,✅,✅,✅,✅,✅,✅
quiz_302180_sibling_4,article_101022,1e3e1c65c6e7,Deep-Sea Fish,The author organizes the passage to show that,91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302184,article_101023,94c58faaa4b7,Tree Frogs,Why do American green tree frogs have suction cups on the...,82%,✅,9/11,"length_check, plausibility",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302184_sibling_1,article_101023,708c20c8230e,Tree Frogs,"According to the passage, what helps tree frogs breathe w...",82%,✅,9/11,"homogeneity, plausibility",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302184_sibling_2,article_101023,437fa41d55f9,Tree Frogs,"Based on the passage, why do tree frogs come down from th...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302184_sibling_3,article_101023,57df65bae2d6,Tree Frogs,How do tree frogs differ from other amphibians in where t...,82%,✅,9/11,"length_check, plausibility",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302184_sibling_4,article_101023,12085466d128,Tree Frogs,What can you conclude about when you might catch a tree f...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302185,article_101023,2b73e1c75d97,Tree Frogs,The author of this passage would most likely agree that,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302185_sibling_1,article_101023,e1ddf85c5f49,Tree Frogs,Which statement shows the author's opinion about tree frogs?,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302185_sibling_2,article_101023,f224f4b1aaa9,Tree Frogs,The author would most likely suggest that readers should,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302185_sibling_3,article_101023,0cba074bcabb,Tree Frogs,"Based on the passage, the author most likely believes that",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302185_sibling_4,article_101023,e206e55d4f97,Tree Frogs,The author's point of view suggests that people who live...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302186,article_101023,1a36e327b9c0,Tree Frogs,"In the passage, what does the bolded word “nocturnal” mean?",82%,✅,9/11,"grammatical_parallel, standard_alignment",20260112_125710,✅,✅,❌,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302186_sibling_1,article_101023,3592901c6e04,Tree Frogs,"In the passage, what does the bolded word 'amphibians' mean?",64%,❌,7/11,"clarity_precision, length_check, passage_reference, standard_alignment",20260112_125710,❌,✅,✅,✅,❌,❌,✅,✅,✅,❌,✅
quiz_302186_sibling_2,article_101023,534c0c340702,Tree Frogs,"Based on the passage, what does it mean when the text say...",82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302186_sibling_3,article_101023,62b50f965a0f,Tree Frogs,What can you figure out from the passage about where tree...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302186_sibling_4,article_101023,85fb9c615fa7,Tree Frogs,How does the author help you understand what 'suction cup...,91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302187,article_101023,981bae44350d,Tree Frogs,Which is the main idea of this passage?,91%,✅,10/11,specificity_balance,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅
quiz_302187_sibling_1,article_101023,e2a8a872e771,Tree Frogs,Which detail from the passage best helps you understand t...,82%,✅,9/11,"length_check, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302187_sibling_2,article_101023,4a5b3cf6ecb3,Tree Frogs,What is the main idea of the entire passage?,91%,✅,10/11,specificity_balance,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅
quiz_302187_sibling_3,article_101023,cfc243784292,Tree Frogs,Which statement best describes the main idea of the passage?,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302187_sibling_4,article_101023,724c77e27fe8,Tree Frogs,What is the main idea that the author wants readers to un...,91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302192,article_101024,5eeda9e191dc,The Komodo Dragon,The author of this passage would most likely agree that,91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302192_sibling_1,article_101024,fa5b6f2bc36f,The Komodo Dragon,"Based on the passage, which statement does the author mos...",82%,✅,9/11,"difficulty_assessment, plausibility",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302192_sibling_2,article_101024,3b7dc5b9a732,The Komodo Dragon,What does the author think about the danger level of fair...,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302192_sibling_3,article_101024,f2f7607538f9,The Komodo Dragon,Which idea would the author most likely support about pro...,82%,✅,9/11,"length_check, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302192_sibling_4,article_101024,c072e4b16881,The Komodo Dragon,"According to the passage, what would the author say about...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302193,article_101024,460937d64b93,The Komodo Dragon,Where do Komodo dragons live most of the time?,64%,❌,7/11,"clarity_precision, length_check, plausibility, specificity_balance",20260112_125710,❌,✅,✅,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302193_sibling_1,article_101024,501ff69328c4,The Komodo Dragon,"Based on the passage, what do Komodo dragons do for most...",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302193_sibling_2,article_101024,b4d3b3ce7327,The Komodo Dragon,"According to paragraph 3, what do young Komodo dragons hu...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302193_sibling_3,article_101024,8279c14bd741,The Komodo Dragon,What evidence from the text shows where Komodo dragons ca...,73%,❌,8/11,"length_check, plausibility, specificity_balance",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302193_sibling_4,article_101024,86070e98da5f,The Komodo Dragon,Which detail from the passage best supports the idea that...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302194,article_101024,9c6cce078f60,The Komodo Dragon,"According to the passage, the tongue helps the Komodo dragon",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302194_sibling_1,article_101024,9b8b6ee59533,The Komodo Dragon,Why does the author explain that Komodo dragons use their...,64%,❌,7/11,"difficulty_assessment, length_check, plausibility, standard_alignment",20260112_125710,✅,❌,✅,✅,❌,✅,❌,✅,✅,❌,✅
quiz_302194_sibling_2,article_101024,98ad015c383c,The Komodo Dragon,"Based on the passage, what relationship exists between a...",82%,✅,9/11,"difficulty_assessment, plausibility",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302194_sibling_3,article_101024,9eca31a5fc02,The Komodo Dragon,"According to the passage, how do young Komodo dragons cat...",82%,✅,9/11,"difficulty_assessment, plausibility",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302194_sibling_4,article_101024,640e10bf3260,The Komodo Dragon,What causes Komodo dragons to be able to smell food from...,91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302195,article_101024,52e42c711607,The Komodo Dragon,"In section 2, why does the author compare a Komodo dragon...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302195_sibling_1,article_101024,74f4250c148b,The Komodo Dragon,"In paragraph 1, why does the author mention fairy tales a...",73%,❌,8/11,"difficulty_assessment, plausibility, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302195_sibling_2,article_101024,164c5a4bb46a,The Komodo Dragon,Why does the author say that wind direction matters when...,64%,❌,7/11,"difficulty_assessment, homogeneity, length_check, plausibility",20260112_125710,✅,❌,✅,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302195_sibling_3,article_101024,251ef8e57158,The Komodo Dragon,"According to the last paragraph, what does the author exp...",82%,✅,9/11,"difficulty_assessment, plausibility",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302195_sibling_4,article_101024,f0e23d30ddb2,The Komodo Dragon,"In section 2, the author compares the heaviest Komodo dra...",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302199,article_101025,839afe7e393d,Beavers,"According to the passage about beavers, what do beavers n...",82%,✅,9/11,"length_check, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302199_sibling_1,article_101025,7b2a6ce7f7be,Beavers,Which detail from the passage shows how beavers warn each...,91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302199_sibling_2,article_101025,bff09cd2455e,Beavers,"Based on the passage, where in the world can beavers be f...",73%,❌,8/11,"grammatical_parallel, specificity_balance, standard_alignment",20260112_125710,✅,✅,❌,✅,✅,✅,✅,✅,❌,❌,✅
quiz_302199_sibling_3,article_101025,dc10be767ffb,Beavers,"According to the passage, what happens to the land after...",91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302199_sibling_4,article_101025,8b5604bfd900,Beavers,How do beavers use the trees they cut down with their teeth?,73%,❌,8/11,"length_check, plausibility, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,❌,✅
quiz_302200,article_101025,b45e6b8d3960,Beavers,Why do beavers build dams across rivers and streams?,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302200_sibling_1,article_101025,f9fb15617d4f,Beavers,Why did beavers almost disappear forever long ago?,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302200_sibling_2,article_101025,943d9057a2dd,Beavers,"Based on the passage, what do beavers do when they sense...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302200_sibling_3,article_101025,a275974381c8,Beavers,"According to the passage, what do beavers eat from the tr...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302200_sibling_4,article_101025,08e9e1e033d8,Beavers,What happens when beavers eat all the good tree bark in t...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302201,article_101025,171d17cf7f01,Beavers,What is the most likely reason the author wrote this pass...,91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302201_sibling_1,article_101025,60e8d8104b72,Beavers,What does the author mean by saying beavers are 'very ter...,82%,✅,9/11,"length_check, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302201_sibling_2,article_101025,40cb735fee0d,Beavers,Which detail from the passage best supports the author's...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302201_sibling_3,article_101025,8b5d295f3c08,Beavers,"Based on the passage, what is the most likely reason the...",91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302201_sibling_4,article_101025,90c696047bf9,Beavers,The author describes beavers as 'busy as a beaver' and sa...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302202,article_101025,6227cab9cb37,Beavers,"According to the passage, which body part helps beavers m...",55%,❌,6/11,"grammatical_parallel, homogeneity, plausibility, specificity_balance, standard_alignment",20260112_125710,✅,✅,❌,❌,✅,✅,❌,✅,❌,❌,✅
quiz_302202_sibling_1,article_101025,ac0ca526b739,Beavers,Why did the author most likely include the detail that we...,91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302202_sibling_2,article_101025,e1bee970c9ca,Beavers,"According to the passage, what can readers learn from the...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302202_sibling_3,article_101025,e8b7781fc043,Beavers,"Based on details in the passage, which body part helps be...",82%,✅,9/11,"plausibility, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302202_sibling_4,article_101025,c4b91bac4d00,Beavers,"According to the passage, what information helps readers...",82%,✅,9/11,"length_check, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302207,article_101026,3c6f573b3b1a,Hummingbirds,"In Section 3, what does the word flexible mean?",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302207_sibling_1,article_101026,b58c069cc746,Hummingbirds,"In Section 1, what does the word hover mean when describi...",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302207_sibling_2,article_101026,d8f8e75a8b76,Hummingbirds,"Based on Section 2, what does the word attract mean when...",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302207_sibling_3,article_101026,e2ebf20516a1,Hummingbirds,"According to Section 3, what does the word incredible mea...",82%,✅,9/11,"length_check, plausibility",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302207_sibling_4,article_101026,31382e783a55,Hummingbirds,"In Section 1, what does the word blur mean when the text...",82%,✅,9/11,"length_check, plausibility",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302208,article_101026,41cb5281bb86,Hummingbirds,What is the most likely reason the author wrote this pass...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302208_sibling_1,article_101026,fb528fe5a615,Hummingbirds,"Based on the information in the passage, what is the auth...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302208_sibling_2,article_101026,ca6573d5d8d1,Hummingbirds,What does the author think is most important for readers...,82%,✅,9/11,"homogeneity, plausibility",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302208_sibling_3,article_101026,e7e75b86c127,Hummingbirds,How would the author most likely respond to someone who s...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302208_sibling_4,article_101026,3b9f33197c40,Hummingbirds,Which statement best describes the author's opinion about...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302209,article_101026,74d9987ecd90,Hummingbirds,Why do hummingbirds visit hundreds of flowers every day?,82%,✅,9/11,"length_check, plausibility",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302209_sibling_1,article_101026,421a08335150,Hummingbirds,"According to the passage, why do hummingbirds need to dri...",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302209_sibling_2,article_101026,9774a6767eb9,Hummingbirds,"Based on Section 1, how does being able to fly backwards...",82%,✅,9/11,"single_correct_answer, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302209_sibling_3,article_101026,c80b9d25a076,Hummingbirds,Why do people fill hummingbird feeders with sugary water...,91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302209_sibling_4,article_101026,1e4b83d55ad4,Hummingbirds,What can you conclude about why ruby-throated hummingbird...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302210,article_101026,91a8b192aaff,Hummingbirds,What must happen just before the hummingbird nest can gro...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302210_sibling_1,article_101026,e0ea30523a23,Hummingbirds,What happens right after a hummingbird lays eggs in the n...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302210_sibling_2,article_101026,1a3e2e4bdd97,Hummingbirds,"Based on the passage, what must happen before the mother...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302210_sibling_3,article_101026,9ac6f78ff3c5,Hummingbirds,Why does the spider web need to be both sticky and flexib...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302210_sibling_4,article_101026,716e3348bf71,Hummingbirds,"According to Section 3, what is the relationship between...",73%,❌,8/11,"difficulty_assessment, passage_reference, plausibility",20260112_125710,✅,❌,✅,✅,✅,❌,❌,✅,✅,✅,✅
quiz_302215,article_101027,d19c2abf0bf7,The Skeletal System,"According to the text, what does Dr. Welbody say is neede...",91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302215_sibling_1,article_101027,d2688b2125e9,The Skeletal System,"Based on the information in the text, what is the main pu...",91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302215_sibling_2,article_101027,14ff5f037fa4,The Skeletal System,How many small bones work together to form the structure...,73%,❌,8/11,"grammatical_parallel, specificity_balance, standard_alignment",20260112_125710,✅,✅,❌,✅,✅,✅,✅,✅,❌,❌,✅
quiz_302215_sibling_3,article_101027,78cc6cebe1fb,The Skeletal System,Which detail from the text shows that doctors use special...,82%,✅,9/11,"grammatical_parallel, standard_alignment",20260112_125710,✅,✅,❌,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302215_sibling_4,article_101027,f288a58ec7cf,The Skeletal System,"According to the text, what connects the information abou...",64%,❌,7/11,"clarity_precision, grammatical_parallel, plausibility, standard_alignment",20260112_125710,❌,✅,❌,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302216,article_101027,64bf997dc398,The Skeletal System,Why does Dr. Welbody include the Simon Says game at the e...,91%,✅,10/11,clarity_precision,20260112_125710,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302216_sibling_1,article_101027,b59321ea115a,The Skeletal System,Why does Dr. Welbody ask students to rub the back of thei...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
